h,2009,2010,2011,2012,2013,2014,2015,2016,2017
58.0,53320.41488690801,52774.682263425246,72028.43524641321,71050.12361969445,65697.98841362615,66344.18786629302,59603.649068893836,55155.0379980348,76557.76766532635
59.0,54114.26454493498,53639.31011912473,72305.79847467552,70681.60638100309,65833.49242025435,66449.96914610192,59873.59774526677,55494.488326720035,76391.27044995515
60.0,53864.368858826085,52268.42700209808,71349.00284229779,69493.41746594974,64916.58197540354,64710.68079539805,58928.26804083626,53978.75543911646,75656.97503857451
61.0,54030.247891846644,51295.855593876804,70233.09962161456,68354.3641827219,63376.35310006303,63298.90756102556,58047.11481418498,52801.44735050421,74641.98239871553
62.0,55072.916099404465,51145.81405587153,69592.36906330318,68227.05822753761,62644.63146427077,62825.94318495697,58061.37625369147,52700.94544050073,74370.89077881628
63.0,57916.55666547123,53856.27665969352,70537.33913168522,69953.50565486138,63365.06109951068,64457.416000471,59905.17664703115,54824.81743659478,75550.24605436221
64.0,62846.610783231685,58428.76554451627,74295.71837976672,72615.76352468018,65943.02482561214,67996.00323561647,62897.022920643656,58885.915024490685,78398.84264298854
65.0,63458.42435956726,59609.668009104586,74001.15433114707,72026.135942774,65696.8592135709,67888.18770042664,62987.68492893494,59654.036765231605,77758.46873771473
66.0,62055.99253493888,58363.9994130032,72155.29129654869,69753.61297084394,63263.433094539534,65503.023266274264,60841.338283207486,58348.53746488022,75745.56009547072
67.0,58818.11998130376,56093.94650347009,69005.39106860853,64751.82899478755,58789.54247569856,61571.824742607336,57091.59836724983,55863.67901652875,71632.2250439286
68.0,57480.31635135871,55150.5198544297,66422.04286118866,61472.02557043444,56237.55035086752,58780.82635995739,54714.01266666706,54352.04824770083,68140.05268050208
69.0,58498.21041762125,56300.1186887867,65484.598151712955,59537.868426757355,54442.1222630439,57111.71981989596,53900.0919405464,53862.87058370428,65651.1327686712
70.0,55763.3606459381,53750.49197822217,60824.250886142785,54280.35582142726,49271.51521012295,53298.508108323564,50976.49684171498,50626.29886971451,61475.89490628595
71.0,52788.309417348544,50953.674532382756,57828.08299014647,50097.126802827755,45453.6898233735,48986.90382842082,47606.72242118036,47899.415413599556,58152.35433791486
72.0,50045.919689619004,48510.91193881479,55380.191243040754,47480.65440811909,42402.59127412859,46645.47588495866,45342.2095623991,46072.94702874031,55922.78585771987
73.0,48105.99671254088,47228.542534856,53833.19246215137,46782.70509241575,41242.90281740227,45333.381164252234,44071.9227720706,45072.030047481116,54618.55767064555
