,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
33,0.200753,0.44459,0.7762720000000001,0.008452,0.008528,0.756741,0.7111970000000001,0.094462,0.357178,0.419936,0.046745,0.017522,0.451737,0.214035,0.16096400000000002,0.28484,0.280163,0.321791,0.147136,0.714331,0.020269,0.395976,0.09114,0.040878,0.055608000000000005,0.15903,0.187793,0.279414,0.393834,0.7818069999999999
34,0.190755,0.433093,0.8010970000000001,0.011348,0.004077,0.748318,0.740056,0.093797,0.388484,0.428715,0.0315,0.016694999999999998,0.448269,0.217706,0.182269,0.286947,0.234063,0.272365,0.160655,0.720907,0.017358000000000002,0.410471,0.10775,0.035911,0.053669000000000015,0.147965,0.171,0.25268,0.373121,0.76431
35,0.19238,0.41573,0.8389709999999999,0.014575,0.002581,0.72596,0.7503810000000001,0.10054,0.42003,0.451724,0.024416,0.017633000000000003,0.433227,0.229358,0.201534,0.298095,0.196472,0.2552,0.16702899999999998,0.730498,0.020153,0.457085,0.125921,0.036502,0.058597,0.147534,0.179937,0.26258400000000004,0.382608,0.757627
36,0.192862,0.395795,0.864099,0.015837999999999998,0.001748,0.7043149999999999,0.743548,0.109536,0.4317470000000001,0.442093,0.023621,0.021491,0.425711,0.248997,0.199489,0.298149,0.163247,0.244332,0.169585,0.736985,0.025162,0.472448,0.139503,0.03787,0.064193,0.155091,0.182399,0.27722,0.357814,0.74349
37,0.19889,0.365049,0.8819899999999999,0.016899,0.0011619999999999998,0.69744,0.72764,0.111664,0.438697,0.4134930000000001,0.026052,0.034688,0.445676,0.285692,0.201657,0.31314000000000003,0.138767,0.24220100000000006,0.165883,0.73482,0.031725,0.438414,0.15048,0.036208,0.06614600000000001,0.162338,0.192213,0.27362,0.355162,0.7346060000000001
38,0.212411,0.336853,0.889814,0.022147,0.001494,0.685776,0.724214,0.124303,0.450658,0.398612,0.031998,0.063387,0.48714,0.333956,0.222717,0.351786,0.127941,0.25658000000000003,0.170048,0.731675,0.047953,0.399477,0.189351,0.04542,0.071737,0.176223,0.21042600000000006,0.283039,0.358864,0.726619
39,0.235699,0.314321,0.8979389999999999,0.033648000000000004,0.004485,0.677331,0.710303,0.175836,0.450919,0.391678,0.043174,0.109873,0.51334,0.367024,0.240464,0.388569,0.132654,0.288583,0.198599,0.737821,0.064187,0.386294,0.251358,0.070386,0.083346,0.196171,0.231671,0.293618,0.374024,0.7327520000000001
40,0.261432,0.29504400000000003,0.904403,0.043614,0.010542,0.673868,0.682979,0.198744,0.4391060000000001,0.368983,0.044139,0.147076,0.49936,0.363618,0.242364,0.407886,0.128656,0.320979,0.209881,0.746548,0.06611,0.38111,0.29577,0.08720499999999999,0.092504,0.201241,0.241531,0.29404,0.375172,0.7367560000000001
41,0.26191,0.276106,0.90348,0.05152,0.016075,0.683002,0.664786,0.198212,0.434293,0.339495,0.036822,0.167253,0.483461,0.346598,0.225244,0.412084,0.122528,0.347344,0.195319,0.7518779999999999,0.060443,0.360839,0.322697,0.08494600000000001,0.089852,0.191238,0.250934,0.292291,0.366082,0.7401399999999999
42,0.265387,0.252421,0.899545,0.057368,0.02009,0.686569,0.657278,0.191902,0.431426,0.30482,0.028119,0.175481,0.463047,0.322625,0.21802800000000006,0.414511,0.121699,0.362528,0.168186,0.755648,0.05276,0.359474,0.338143,0.071997,0.085263,0.18188,0.270729,0.290893,0.34994000000000003,0.7363270000000001
43,0.265664,0.220417,0.889651,0.06125,0.022853,0.695728,0.6520779999999999,0.185022,0.415004,0.28020900000000004,0.020747,0.176792,0.489752,0.29482800000000003,0.213879,0.403524,0.12036199999999997,0.368865,0.139723,0.765255,0.046256,0.358896,0.340163,0.060542999999999986,0.082004,0.174531,0.272821,0.293889,0.33034,0.7300810000000001
